青海省的土地利用情况,青海省的土地利用情况,青海省的土地利用情况,青海省的土地利用情况,青海省的土地利用情况,青海省的土地利用情况,青海省的土地利用情况
年份,草地,荒地或稀疏植被,水体,耕地,永久雪冰,其他
2001,65.63%,31.45%,1.46%,0.90%,0.30%,0.26%
2002,65.76%,31.30%,1.47%,0.90%,0.30%,0.26%
2003,65.89%,31.14%,1.47%,0.91%,0.31%,0.27%
2004,66.00%,31.02%,1.48%,0.91%,0.32%,0.27%
2005,66.18%,30.83%,1.48%,0.90%,0.33%,0.28%
2006,66.31%,30.69%,1.49%,0.89%,0.34%,0.28%
2007,66.37%,30.60%,1.51%,0.88%,0.36%,0.28%
2008,66.42%,30.54%,1.52%,0.88%,0.36%,0.28%
2009,66.57%,30.41%,1.53%,0.87%,0.35%,0.27%
2010,66.71%,30.28%,1.54%,0.85%,0.34%,0.27%
2011,66.73%,30.28%,1.53%,0.84%,0.34%,0.27%
2012,66.72%,30.31%,1.54%,0.83%,0.34%,0.27%
2013,66.66%,30.38%,1.54%,0.81%,0.34%,0.26%
2014,66.60%,30.45%,1.54%,0.80%,0.34%,0.26%
2015,66.63%,30.45%,1.54%,0.78%,0.35%,0.26%
2016,66.62%,30.45%,1.53%,0.77%,0.36%,0.27%
2017,66.62%,30.43%,1.55%,0.76%,0.37%,0.28%
2018,66.85%,30.12%,1.58%,0.78%,0.38%,0.30%
2019,66.83%,29.97%,1.61%,0.82%,0.44%,0.32%
2020,66.88%,29.88%,1.60%,0.83%,0.48%,0.33%
